R_ID,zone,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MWh,New_Build,Cap_size,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost_per_MW_alt,Start_cost_per_MW,Start_cost,Start_fuel_MMBTU_per_MW,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Max_DSM_advance,DSM_energy_eff,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,Min_Cap_MW,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh_in,Fixed_CAP,Fixed_CAP_MW,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days
11,2,PV_2_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0,0,0,0,1,1,1540315.798122405,0,0,86483.16490256137,0,11152.63471,0.0,0,0.0,0.0,0,0.0,0.0,0.0,none,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
12,2,Wind_2_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0.0,0,0,0,1,1,37312.051302681735,0,0,95579.76567526833,0,34568.125,0.0,0,0.0,0.0,0,0.0,0.0,0.0,none,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
13,2,Wind_2_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,1,1,28128.70316035725,0,0,100282.30224739533,0,34568.125,0.0,0,0.0,0.0,0,0.0,0.0,0.0,none,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
14,2,Wind_2_2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,1,1,10833.578688779664,0,0,101174.5650984034,0,34568.125,0.0,0,0.0,0.0,0,0.0,0.0,0.0,none,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
15,3,Nuclear,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,1,1000,-1.0,0,0,462800.0,0,100888.6719,2.314453125,0,208.0,291.2,291200,0.0,0.0,10.461,uranium,0.5,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.17,0.17,24,24,1,0,0.5,0.5,0.1,0.1,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
16,3,Hydro_Res_3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,67.7,0,0,0,-1,1,0.0,0,0,0.0,0,41000.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,none,0.1,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0,0,1,0,1.0,1.0,1.0,1.0,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
17,3,Hydro_RoR_3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,50.8,0,0,0,-1,1,0.0,0,0,0.0,0,41000.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,none,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
18,3,PV_3_0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0.0,0,0,0,1,1,225447.51293102762,0,0,79197.3833063955,0,11152.63471,0.0,0,0.0,0.0,0,0.0,0.0,0.0,none,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
19,3,Wind_3_0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0.0,0,0,0,1,1,5965.663832870442,0,0,90947.92613519449,0,34568.125,0.0,0,0.0,0.0,0,0.0,0.0,0.0,none,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
20,3,Wind_3_1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,1,1,3626.721140638973,0,0,90761.34042123618,0,34568.125,0.0,0,0.0,0.0,0,0.0,0.0,0.0,none,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,trans,-1.0,0.0,0,0,0,0,0,0,0,0
