,H2TruckUnitCapex_per_unit,TruckCap_tonne_per_unit,Full_weight_tonne_per_unit,Empty_weight_tonne_per_unit,AvgTruckSpeed_mile_per_hour,H2TruckUnitOpex_per_mile_full,H2TruckUnitOpex_per_mile_empty,H2TLoss_per_mile,truck_emission_rate_tonne_per_tonne_mile,lifetime
Gas,300000,0.3,10.3,10,35,1.22,1.21,0,0.000179778,12
Liquid,800000,4,14,10,35,1.35,1.21,0.03,0.000179778,12
